,fname,scanname
0,gatenetlog_scan20210713_theta_m2_scan_1.txt,scan20210713_theta_m2_scan_1.txt
1,gatenetlog_scan20210713_x_m2_scan_1.txt,scan20210713_x_m2_scan_1.txt
2,gatenetlog_scan20210713_x_m2_scan_2.txt,scan20210713_x_m2_scan_2.txt
3,gatenetlog_scan20210713_x_m2_scan_3.txt,scan20210713_x_m2_scan_3.txt
4,gatenetlog_scan20210713_x_m2_scan_4.txt,scan20210713_x_m2_scan_4.txt
5,gatenetlog_scan20210713_x_m2_scan_5.txt,scan20210713_x_m2_scan_5.txt
6,gatenetlog_scan20210713_theta_m2_scan_2.txt,scan20210713_theta_m2_scan_2.txt
7,gatenetlog_scan20210713_theta_m2_scan_3.txt,scan20210713_theta_m2_scan_3.txt
8,gatenetlog_scan20210713_theta_m2_scan_4.txt,scan20210713_theta_m2_scan_4.txt
9,gatenetlog_scan20210713_agilent_scan_1.txt,scan20210713_agilent_scan_1.txt
10,gatenetlog_scan20210713_flipper_agilent_scan_1.txt,scan20210713_flipper_agilent_scan_1.txt
11,gatenetlog_scan20210713_flipper_agilent_scan_long_1.txt,scan20210713_flipper_agilent_scan_long_1.txt
12,gatenetlog_scan20210713_flipper_agilent_scan_rough_1.txt,scan20210713_flipper_agilent_scan_rough_1.txt
13,gatenetlog_scan20210713_flipper_agilent_scan_rough_2.txt,scan20210713_flipper_agilent_scan_rough_2.txt
14,gatenetlog_scan20210713_flipper_agilent_scan_rough_3.txt,scan20210713_flipper_agilent_scan_rough_3.txt
15,gatenetlog_scan20210713_flipper_agilent_scan_fine_2.txt,scan20210713_flipper_agilent_scan_fine_2.txt
16,gatenetlog_scan20210713_flipper_agilent_scan_rough_4.txt,scan20210713_flipper_agilent_scan_rough_4.txt
17,gatenetlog_scan20210713_flipper_agilent_scan_fine_3.txt,scan20210713_flipper_agilent_scan_fine_3.txt
18,gatenetlog_scan20210713_flipper_agilent_scan_rough_6.txt,scan20210713_flipper_agilent_scan_rough_6.txt
19,gatenetlog_scan20210713_flipper_agilent_scan_fine_5.txt,scan20210713_flipper_agilent_scan_fine_5.txt
20,gatenetlog_scan20210713_flipper_agilent_scan_fine_6.txt,scan20210713_flipper_agilent_scan_fine_6.txt
21,gatenetlog_scan20210713_flipper_agilent_scan_fine_8.txt,scan20210713_flipper_agilent_scan_fine_8.txt
22,gatenetlog_scan20210713_flipper_agilent_scan_rough_7.txt,scan20210713_flipper_agilent_scan_rough_7.txt
23,gatenetlog_scan20210713_flipper_agilent_scan_rough_8.txt,scan20210713_flipper_agilent_scan_rough_8.txt
